item_name,item_category,city,base_price,production_cost,fair_wage_multiplier,sustainability_score,local_demand_index,market_avg_price_city,profit_margin_standard,regulatory_adjustment,marketplace
Table Clock,Home Decor,Chennai,757.42,419.07,1.08,6,0.46,713.81,0.15,7.63,Amazon
Sunscreen,Cosmetics,Lucknow,245.63,142.16,1.57,8.6,0.84,257.18,0.29,28.76,Amazon
Air Fryer,Kitchen Appliances,Pune,1578.78,970.61,1.22,3.6,0.36,1653.38,0.11,25.41,Own Brand Website
Resistance Bands,Fitness Equipment,Pune,796.31,364.41,1.27,7.9,0.48,744.33,0.25,27.02,Offline Store
Mixer Grinder,Kitchen Appliances,Delhi,1212.54,675.57,1.47,8.1,0.3,1159.64,0.29,29.01,Flipkart
Perfume,Cosmetics,Bangalore,1069.55,607.53,1.05,7.7,0.44,989.96,0.16,21.62,Flipkart
Face Wash,Cosmetics,Pune,929.03,468.9,1.45,8.7,0.86,918.76,0.24,27.13,Offline Store
Foundation,Cosmetics,Mumbai,1826.92,1000.49,1.25,9.3,0.47,1935.38,0.28,23.49,Flipkart
Board Game,Toys,Hyderabad,1391.73,577.85,1.16,7.7,0.81,1270.2,0.1,12.79,Offline Store
Electric Kettle,Kitchen Appliances,Mumbai,1325.41,733.76,1.05,4.1,0.79,1271.77,0.12,6.27,Offline Store
Laptop,Electronics,Jaipur,1715.84,929.13,1.33,3.4,0.62,1765.86,0.12,27.56,Offline Store
Puzzle,Toys,Jaipur,1588.36,1017.45,1.35,5.3,0.72,1501.12,0.13,18.46,Own Brand Website
Doll,Toys,Hyderabad,1009.39,449.26,1.34,6.8,0.87,1061.72,0.14,25.45,Amazon
Cold Pressed Oil,Groceries,Kolkata,1941.13,1193.77,1.48,4.9,0.94,1815.5,0.25,14.88,Offline Store
Boots,Footwear,Pune,778.05,377.78,1.29,8.5,0.91,765.02,0.23,24.71,Own Brand Website
Doll,Toys,Pune,289.5,199.22,1.17,9.4,0.94,266.36,0.28,21.02,Amazon
Jacket,Clothing,Kolkata,1654.06,715.76,1.51,7.4,0.63,1673.92,0.25,12.44,Amazon
Sunscreen,Cosmetics,Ahmedabad,1892.61,931.71,1.53,3.1,0.9,2025.69,0.12,23.42,Offline Store
Cold Pressed Oil,Groceries,Lucknow,810.82,441.03,1.09,4.5,0.92,797.51,0.11,17.88,Own Brand Website
Rug,Home Decor,Hyderabad,1989.93,994.66,1.13,7.5,0.9,2132.87,0.23,9.6,Flipkart
Action Figure,Toys,Kolkata,1590.28,1028.86,1.52,5.8,0.57,1480.6,0.25,23.43,Offline Store
Bluetooth Speaker,Electronics,Pune,289.52,117.56,1.57,3.1,0.71,286.84,0.26,7.19,Own Brand Website
Curtain,Home Decor,Chennai,1396.51,816.24,1.52,6.6,0.77,1379.08,0.3,18.99,Flipkart
T-shirt,Clothing,Chennai,1531.72,655.39,1.3,3.5,0.38,1533.6,0.17,16.5,Flipkart
Headphones,Electronics,Pune,1042.67,467.04,1.25,9,0.86,1040.71,0.25,23.84,Offline Store
Dry Fruits,Groceries,Delhi,183.8,107.2,1.49,7.2,0.65,184.95,0.2,24.46,Own Brand Website
Lipstick,Cosmetics,Hyderabad,1320.62,613.63,1.29,6.7,0.57,1251.31,0.12,7.93,Own Brand Website
Headphones,Electronics,Delhi,662.95,345.26,1.43,9.9,0.88,704.54,0.26,19.9,Own Brand Website
Jacket,Clothing,Pune,580.24,314.25,1.13,7,0.31,544.2,0.24,11.92,Own Brand Website
Laptop,Electronics,Hyderabad,897.93,583.31,1.07,3.2,0.45,931.05,0.15,26.59,Own Brand Website
Electric Kettle,Kitchen Appliances,Mumbai,768.51,372.77,1.18,7,0.86,754.07,0.15,15.52,Amazon
Green Tea,Groceries,Bangalore,1819.1,910.21,1.41,5.3,0.74,1957.72,0.22,28.69,Flipkart
Exercise Bike,Fitness Equipment,Ahmedabad,1242.88,860.65,1.45,7.6,0.84,1121.35,0.15,10.4,Offline Store
Self-Help Book,Books,Bangalore,310.71,211.7,1.12,4.8,0.52,318.45,0.25,20.12,Offline Store
Yoga Mat,Fitness Equipment,Chennai,1523.01,792.94,1.6,4.2,0.56,1624.19,0.15,23.77,Flipkart
Lamp,Home Decor,Jaipur,792.13,359.06,1.27,8.5,0.37,794.68,0.25,23.79,Amazon
Kurta,Clothing,Mumbai,840.21,453.66,1.52,4.5,0.95,826.64,0.16,5.06,Amazon
Action Figure,Toys,Mumbai,337.54,211.62,1.41,4.7,0.9,360.2,0.15,13.25,Own Brand Website
Foundation,Cosmetics,Lucknow,451.03,267.36,1.44,5.8,0.78,495.37,0.22,21.23,Amazon
Electric Kettle,Kitchen Appliances,Kolkata,810.3,326.69,1.57,8.4,0.75,734.1,0.25,21.75,Offline Store
Honey,Groceries,Pune,1180.92,693.29,1.56,3,0.4,1274.16,0.1,27.59,Own Brand Website
Exercise Bike,Fitness Equipment,Mumbai,156.3,99.06,1.54,7.3,0.72,142.25,0.14,27.49,Own Brand Website
Sunscreen,Cosmetics,Mumbai,1665.06,695.77,1.5,6,0.66,1534.65,0.18,15.87,Flipkart
Flip Flops,Footwear,Lucknow,1372.03,819.46,1.35,3.2,0.4,1278.81,0.28,27.54,Offline Store
Smartphone,Electronics,Chennai,1632.35,738.58,1.51,4.3,0.66,1708.7,0.11,19.95,Flipkart
Flip Flops,Footwear,Hyderabad,577.15,317.06,1.26,7.8,0.62,554.25,0.28,28.98,Amazon
Organic Rice,Groceries,Ahmedabad,1623.62,932.32,1.54,7.2,0.4,1466.92,0.25,23.81,Offline Store
Sneakers,Footwear,Hyderabad,1859.07,1203.32,1.4,4.3,0.69,1834.79,0.15,24.98,Amazon
Fiction Novel,Books,Mumbai,384.16,226.31,1.39,5.1,0.58,354.7,0.11,5.33,Flipkart
Lipstick,Cosmetics,Pune,431.21,284.64,1.34,3.8,0.89,437.15,0.11,24.07,Offline Store
Cold Pressed Oil,Groceries,Hyderabad,999.53,559.6,1.39,3.7,0.92,950.63,0.22,26.39,Offline Store
Bluetooth Speaker,Electronics,Ahmedabad,730.64,429.81,1.59,9,0.81,721.77,0.19,17.14,Flipkart
Lipstick,Cosmetics,Chennai,1411.82,625.86,1.52,3.1,0.41,1406.69,0.15,14.14,Flipkart
Headphones,Electronics,Bangalore,731.91,351.82,1.26,6.5,0.61,777.57,0.16,12.05,Offline Store
Green Tea,Groceries,Delhi,1058.45,438.6,1.11,8.6,0.62,966.69,0.19,14.96,Flipkart
Biography,Books,Pune,567.66,290.43,1.15,6.1,0.57,579.86,0.29,9.64,Own Brand Website
Fiction Novel,Books,Bangalore,893.14,507.9,1.35,7.6,0.47,917.17,0.14,8.14,Flipkart
Rug,Home Decor,Delhi,1680.13,910.84,1.27,9.5,0.76,1739.65,0.14,10.23,Offline Store
Sandals,Footwear,Jaipur,1017.89,606.35,1.27,3.4,0.74,1073.62,0.29,15.22,Amazon
Self-Help Book,Books,Chennai,590.29,400.06,1.44,3.4,0.68,534.63,0.15,6.77,Offline Store
Sandals,Footwear,Kolkata,489.29,267.63,1.21,3.6,0.61,509.69,0.11,27.06,Flipkart
Biography,Books,Bangalore,1340.83,745.28,1.27,5.8,0.52,1237.78,0.12,12.72,Amazon
Rug,Home Decor,Ahmedabad,1367.42,665.27,1.5,5.7,0.71,1348.8,0.2,11.25,Amazon
Sunscreen,Cosmetics,Kolkata,1076.35,466.27,1.26,6.1,0.76,1054.87,0.23,9.37,Amazon
T-shirt,Clothing,Kolkata,147.93,81.63,1.31,7.7,0.5,134.02,0.24,28.56,Offline Store
Toaster,Kitchen Appliances,Mumbai,849.1,495.31,1.35,7,0.86,889.23,0.25,7.25,Offline Store
Yoga Mat,Fitness Equipment,Kolkata,378.74,226.86,1.35,8.4,0.36,383.78,0.2,26.37,Offline Store
Smartphone,Electronics,Bangalore,455.58,229.89,1.13,6.2,0.87,471.1,0.25,7.33,Amazon
Mixer Grinder,Kitchen Appliances,Pune,958.85,624.79,1.51,9.9,0.64,863.36,0.28,28.9,Offline Store
Dumbbells,Fitness Equipment,Bangalore,1862.72,1176.44,1.17,4,0.76,1728.76,0.29,16.15,Flipkart
Formal Shoes,Footwear,Lucknow,158.55,70.58,1.21,7.9,0.78,149.45,0.23,5.8,Flipkart
Wall Art,Home Decor,Kolkata,295.42,165.58,1.44,9.4,0.58,272.97,0.29,15.94,Own Brand Website
Electric Kettle,Kitchen Appliances,Lucknow,1045.2,685.99,1.37,5.1,0.65,1071.3,0.28,10.87,Own Brand Website
Smartwatch,Electronics,Kolkata,1162.82,786.24,1.08,4.4,0.53,1204.33,0.27,9.98,Offline Store
Kurta,Clothing,Lucknow,568.74,367.97,1.13,4.8,0.78,530.77,0.27,17.26,Own Brand Website
Lamp,Home Decor,Delhi,950.39,418.72,1.42,9.2,0.75,915.58,0.24,17.75,Flipkart
Jeans,Clothing,Chennai,1722.09,926.3,1.18,3.7,0.48,1743.97,0.13,5.99,Flipkart
Textbook,Books,Pune,952.8,480.43,1.28,6.2,0.8,1040.63,0.15,28.56,Own Brand Website
Sneakers,Footwear,Lucknow,533.91,334.49,1.42,3.4,0.77,576.74,0.29,22.13,Amazon
Lipstick,Cosmetics,Chennai,1594.52,672.03,1.14,4.8,0.65,1558.24,0.23,16.14,Amazon
Bluetooth Speaker,Electronics,Chennai,1572.54,965.66,1.46,8.8,0.84,1660.46,0.11,20.58,Amazon
Sneakers,Footwear,Mumbai,137.6,85.74,1.08,9.9,0.7,128.85,0.19,25.67,Flipkart
Curtain,Home Decor,Pune,442,247.98,1.05,8.5,0.43,432.03,0.21,8.62,Own Brand Website
Lamp,Home Decor,Pune,1860.67,1005.96,1.18,8.1,0.88,2014.24,0.19,13.99,Flipkart
Wall Art,Home Decor,Kolkata,1865.59,775.81,1.46,4.2,0.6,2034.87,0.22,18.09,Offline Store
Sandals,Footwear,Hyderabad,217.42,105.06,1.05,9.1,0.72,200.81,0.17,25.29,Offline Store
T-shirt,Clothing,Lucknow,366.58,171.96,1.35,4,0.55,401.93,0.21,22.54,Own Brand Website
Smartwatch,Electronics,Chennai,1360.23,630.49,1.52,3.9,0.9,1282.99,0.29,24.95,Flipkart
Remote Car,Toys,Mumbai,424.87,190.39,1.1,4.7,0.73,426.6,0.22,5.78,Flipkart
Smartwatch,Electronics,Mumbai,251.95,153.08,1.52,5.5,0.41,242.29,0.18,20.75,Own Brand Website
Action Figure,Toys,Delhi,878,587.48,1.27,4.3,0.46,871.88,0.26,26.74,Flipkart
Flip Flops,Footwear,Bangalore,452.05,181.29,1.53,4.6,0.83,456.64,0.18,8.67,Flipkart
Table Clock,Home Decor,Ahmedabad,1376.87,888.7,1.3,6.1,0.79,1376.9,0.26,6.35,Amazon
Doll,Toys,Kolkata,1729.5,827.78,1.14,3.2,0.84,1577.34,0.29,19.12,Offline Store
Mixer Grinder,Kitchen Appliances,Ahmedabad,1427.5,881.61,1.21,8.6,0.92,1390.34,0.27,24.3,Offline Store
Resistance Bands,Fitness Equipment,Kolkata,1220.23,622.66,1.28,5.2,0.58,1339.72,0.17,21.64,Amazon
Flip Flops,Footwear,Delhi,707.25,381.91,1.1,8.3,0.73,685.68,0.2,26.81,Offline Store
Table Clock,Home Decor,Hyderabad,184.42,125.23,1.31,9,0.86,168.14,0.26,23.32,Amazon
Smartphone,Electronics,Kolkata,182.07,124.2,1.4,4.2,0.38,184.33,0.11,9.11,Own Brand Website
Yoga Mat,Fitness Equipment,Pune,1902.06,1185.79,1.39,4.5,0.44,1881.45,0.25,5.1,Flipkart
Wall Art,Home Decor,Ahmedabad,184.12,121.71,1.5,7.9,0.62,171.05,0.12,27.63,Flipkart
Textbook,Books,Ahmedabad,826.79,503.28,1.3,8.1,0.43,824.24,0.18,11.13,Amazon
Air Fryer,Kitchen Appliances,Chennai,1235.65,693.31,1.32,7.1,0.39,1203.66,0.16,24.23,Own Brand Website
Kurta,Clothing,Kolkata,167.88,81.35,1.56,5.1,0.4,176.52,0.11,15.66,Own Brand Website
Formal Shoes,Footwear,Kolkata,1725.18,1183.87,1.19,5.1,0.67,1630.83,0.13,15.65,Flipkart
Boots,Footwear,Mumbai,237.27,158.56,1.23,5.4,0.81,229.75,0.25,9.53,Offline Store
Textbook,Books,Mumbai,1105.08,696.81,1.3,3.5,0.78,1103.77,0.16,29.82,Own Brand Website
Self-Help Book,Books,Mumbai,1764.54,725.84,1.38,5.5,0.32,1592.07,0.22,13,Offline Store
Electric Kettle,Kitchen Appliances,Pune,1436.3,770.33,1.47,8.7,0.73,1412.74,0.3,12.67,Flipkart
Sunscreen,Cosmetics,Delhi,1077.7,599.33,1.29,3.8,0.53,1016.31,0.28,21.38,Flipkart
Fiction Novel,Books,Bangalore,646.85,368.52,1.52,9.5,0.35,683.97,0.29,16.68,Offline Store
Smartphone,Electronics,Jaipur,1991.51,1368.41,1.41,8.9,0.49,2157.79,0.22,17.74,Offline Store
Mixer Grinder,Kitchen Appliances,Delhi,1687.76,1125.48,1.44,3.2,0.69,1796.34,0.21,28.37,Amazon
Dumbbells,Fitness Equipment,Pune,1804.9,1008.76,1.27,3.4,0.71,1720.42,0.23,24.97,Amazon
Yoga Mat,Fitness Equipment,Lucknow,876.52,354.71,1.53,6.8,0.5,899.97,0.23,8.69,Own Brand Website
Yoga Mat,Fitness Equipment,Jaipur,1328.16,645.49,1.49,9.6,0.37,1439.02,0.28,13.57,Amazon
Action Figure,Toys,Mumbai,154.79,92.71,1.24,4.3,0.37,145.38,0.15,24.9,Flipkart
Sunscreen,Cosmetics,Pune,1589.26,871.43,1.35,9.4,0.89,1693.73,0.17,14.16,Flipkart
Mixer Grinder,Kitchen Appliances,Kolkata,1786.98,1211.49,1.49,8.3,0.66,1729.2,0.15,8.51,Offline Store
Remote Car,Toys,Ahmedabad,1483.58,939.25,1.25,3,0.91,1464.91,0.29,21.93,Amazon
Bluetooth Speaker,Electronics,Lucknow,335.63,167.17,1.41,7.5,0.45,313.94,0.16,24.67,Offline Store
Sunscreen,Cosmetics,Jaipur,559.55,341.62,1.53,5.7,0.3,519.48,0.16,9.75,Flipkart
Smartphone,Electronics,Lucknow,650.08,366.13,1.06,3.4,0.86,652.98,0.29,5.08,Own Brand Website
Children Book,Books,Pune,100.29,62.37,1.31,9.4,0.81,100.37,0.2,25.28,Own Brand Website
Fiction Novel,Books,Ahmedabad,1627.04,786,1.42,7.5,0.86,1746.98,0.15,26.99,Offline Store
Curtain,Home Decor,Lucknow,1856.69,803.74,1.37,6.1,0.56,1932.75,0.13,25.5,Own Brand Website
Children Book,Books,Delhi,150.54,86.33,1.17,7.7,0.64,165.59,0.27,13.42,Flipkart
Lipstick,Cosmetics,Kolkata,1104.12,546.92,1.45,6,0.38,1139.63,0.1,12.43,Amazon
Curtain,Home Decor,Pune,1823.57,780.95,1.33,8.6,0.89,1845.39,0.13,28.52,Flipkart
Resistance Bands,Fitness Equipment,Chennai,1523.59,790.29,1.2,3.3,0.42,1608.2,0.12,8.24,Flipkart
Sneakers,Footwear,Mumbai,472.27,244.92,1.15,9.3,0.47,511.89,0.3,23.87,Offline Store
Sneakers,Footwear,Pune,114.13,53.87,1.2,6.8,0.4,104.48,0.14,13.18,Offline Store
Honey,Groceries,Pune,193.5,88.74,1.14,8.4,0.41,204.78,0.2,23.95,Offline Store
Curtain,Home Decor,Jaipur,955.68,640.61,1.2,8.4,0.41,1028.82,0.11,16.44,Amazon
Microwave Oven,Kitchen Appliances,Delhi,900.39,528.65,1.29,7.1,0.86,835.93,0.15,25.07,Offline Store
Puzzle,Toys,Jaipur,533.32,358.23,1.35,3.6,0.31,561.36,0.27,11,Offline Store
Dry Fruits,Groceries,Ahmedabad,557.48,382.56,1.41,4.2,0.59,603.24,0.22,15.19,Flipkart
Flip Flops,Footwear,Lucknow,386.96,239.06,1.2,7,0.69,391.25,0.15,22.71,Own Brand Website
Electric Kettle,Kitchen Appliances,Hyderabad,1175.5,612.56,1.08,5.3,0.53,1243.95,0.2,28.3,Flipkart
Boots,Footwear,Lucknow,1526.39,856.92,1.14,4.5,0.4,1508.94,0.24,23.98,Offline Store
Laptop,Electronics,Kolkata,282.69,155.13,1.31,6.1,0.5,281.32,0.2,19.99,Flipkart
T-shirt,Clothing,Lucknow,816.99,558.44,1.24,9.3,0.82,811.32,0.2,26.75,Flipkart
Kurta,Clothing,Chennai,1036.18,625.66,1.5,9.4,0.44,1134.69,0.29,12.43,Offline Store
Yoga Mat,Fitness Equipment,Bangalore,1266.08,524.25,1.14,7.1,0.72,1274.84,0.24,24.82,Offline Store
Action Figure,Toys,Lucknow,420.07,251.15,1.36,3.8,0.45,413.32,0.27,10.43,Amazon
Resistance Bands,Fitness Equipment,Lucknow,447.56,275.82,1.59,6.1,0.53,425.53,0.11,9.46,Flipkart
Curtain,Home Decor,Hyderabad,277.49,152.13,1.59,8.5,0.69,276.75,0.22,14.4,Amazon
Wall Art,Home Decor,Hyderabad,438.93,253.23,1.34,9.6,0.72,462.93,0.12,24.02,Offline Store
Microwave Oven,Kitchen Appliances,Mumbai,1967.41,1175.03,1.46,9.9,0.55,2094.97,0.18,15.65,Own Brand Website
Children Book,Books,Bangalore,1350.66,644.16,1.6,5.3,0.38,1302.73,0.27,12.85,Offline Store
Formal Shoes,Footwear,Hyderabad,1261.58,858.63,1.19,3.9,0.36,1246.53,0.12,16.35,Own Brand Website
Formal Shoes,Footwear,Pune,1739.16,1101.31,1.37,9,0.37,1777.22,0.12,17.05,Flipkart
Jeans,Clothing,Lucknow,980.58,470.23,1.51,4.6,0.66,977.1,0.19,5.84,Own Brand Website
Toaster,Kitchen Appliances,Chennai,1423.79,574.93,1.5,4.9,0.38,1400.17,0.21,12.76,Offline Store
Mixer Grinder,Kitchen Appliances,Delhi,331.39,134.38,1.44,9.2,0.37,313.54,0.1,27.13,Flipkart
Microwave Oven,Kitchen Appliances,Pune,945,640.29,1.31,9,0.92,913.84,0.23,21.66,Flipkart
Cold Pressed Oil,Groceries,Delhi,140.68,74.77,1.52,9.6,0.88,153.99,0.23,10.82,Offline Store
Table Clock,Home Decor,Bangalore,1193.23,628.05,1.19,8.4,0.71,1262.46,0.15,27.6,Flipkart
Perfume,Cosmetics,Hyderabad,553.56,321.38,1.08,6.8,0.36,534.98,0.27,27.34,Amazon
Remote Car,Toys,Jaipur,1557.87,795,1.37,4.6,0.74,1510.32,0.14,19.62,Offline Store
Sneakers,Footwear,Hyderabad,312.42,189.33,1.15,6.9,0.56,316.56,0.15,12.76,Own Brand Website
Puzzle,Toys,Mumbai,366.61,232.1,1.09,5.6,0.59,344.26,0.18,15.45,Own Brand Website
Boots,Footwear,Ahmedabad,526.23,311.41,1.07,4.4,0.71,539.65,0.15,22.08,Offline Store
Yoga Mat,Fitness Equipment,Ahmedabad,992.6,554.04,1.23,9.9,0.78,942.66,0.15,24.35,Own Brand Website
Wall Art,Home Decor,Bangalore,837.22,357.87,1.07,5.9,0.57,871.86,0.21,24.25,Own Brand Website
Curtain,Home Decor,Kolkata,703.73,413.28,1.54,3.5,0.76,734.11,0.26,11.73,Flipkart
Formal Shoes,Footwear,Jaipur,891.39,420.66,1.22,9.8,0.59,953.53,0.26,16.11,Amazon
Bluetooth Speaker,Electronics,Ahmedabad,1985.14,1294.78,1.32,5.2,0.35,1971.16,0.17,22.78,Own Brand Website
Sweatshirt,Clothing,Bangalore,137.39,89.23,1.28,6.3,0.42,149.41,0.18,26.07,Offline Store
Lipstick,Cosmetics,Lucknow,551.16,236.45,1.4,9.9,0.72,563.14,0.19,12.1,Own Brand Website
Mixer Grinder,Kitchen Appliances,Hyderabad,918.58,408.48,1.19,6.4,0.39,972.14,0.1,13.04,Offline Store
Treadmill,Fitness Equipment,Ahmedabad,1081.64,734.09,1.37,5.1,0.53,1046.85,0.14,8.62,Own Brand Website
Self-Help Book,Books,Lucknow,1013.21,487.43,1.1,4.5,0.64,963.95,0.15,20.52,Own Brand Website
Lamp,Home Decor,Lucknow,1409.89,666,1.31,8.4,0.75,1288.44,0.17,23.08,Amazon
Children Book,Books,Pune,440.93,202.29,1.4,5,0.51,442.94,0.25,17.46,Offline Store
Sweatshirt,Clothing,Jaipur,1797.51,776.51,1.46,6.8,0.83,1731.51,0.2,25.59,Own Brand Website
Sneakers,Footwear,Pune,1680.38,861.69,1.5,7.8,0.57,1838.24,0.11,14.57,Own Brand Website
Table Clock,Home Decor,Chennai,683.21,465.08,1.1,7.4,0.77,640.06,0.13,6.2,Own Brand Website
Smartphone,Electronics,Delhi,401.86,258.18,1.57,9.3,0.54,420.01,0.27,25.31,Amazon
Green Tea,Groceries,Ahmedabad,219.1,101.76,1.57,8.2,0.84,219.72,0.18,21.28,Offline Store
Honey,Groceries,Hyderabad,998.43,511.32,1.24,4.1,0.64,1002.39,0.22,7.91,Own Brand Website
Honey,Groceries,Bangalore,1838.35,1144.59,1.12,3.6,0.72,1780.08,0.16,26,Amazon
T-shirt,Clothing,Jaipur,755.77,445.64,1.35,4.8,0.52,822.76,0.17,24.6,Amazon
Air Fryer,Kitchen Appliances,Lucknow,1736.42,731.57,1.41,8.2,0.58,1760.5,0.13,12.96,Offline Store
Exercise Bike,Fitness Equipment,Delhi,1444.57,838.96,1.13,9.9,0.91,1364.86,0.28,11.68,Flipkart
Perfume,Cosmetics,Hyderabad,1171.1,743.2,1.24,6.9,0.59,1232.04,0.2,19.17,Own Brand Website
Puzzle,Toys,Hyderabad,1706.56,1040.31,1.34,6.2,0.38,1555.14,0.29,9.66,Own Brand Website
Mixer Grinder,Kitchen Appliances,Delhi,626.06,365.17,1.51,8.8,0.84,685.92,0.11,15,Amazon
Boots,Footwear,Mumbai,1835.82,991.71,1.53,3.1,0.63,1990.93,0.15,28.24,Flipkart
Dry Fruits,Groceries,Kolkata,116.11,49.19,1.31,3.7,0.45,111.41,0.2,14.76,Offline Store
T-shirt,Clothing,Pune,1852.08,1233.12,1.46,7.6,0.43,1889.8,0.13,16.32,Own Brand Website
Sunscreen,Cosmetics,Bangalore,976.9,592.89,1.51,5.2,0.33,888.39,0.27,17.16,Own Brand Website
Sandals,Footwear,Chennai,571.22,234.02,1.34,4,0.57,573.06,0.15,9.97,Offline Store
Lipstick,Cosmetics,Bangalore,137.64,79.23,1.16,9.1,0.69,139.19,0.2,10.38,Amazon
Curtain,Home Decor,Chennai,1941.88,1340.12,1.23,8.4,0.38,2050.83,0.16,12.23,Offline Store
Dumbbells,Fitness Equipment,Bangalore,1063.74,550.7,1.11,7.2,0.44,1051.93,0.15,26.44,Flipkart
Treadmill,Fitness Equipment,Mumbai,742.24,494.52,1.23,4.3,0.67,750.43,0.22,12.55,Offline Store
Smartwatch,Electronics,Hyderabad,707.94,333.6,1.56,7.8,0.79,664.64,0.23,24.07,Own Brand Website
Curtain,Home Decor,Pune,750.67,335.78,1.43,7.3,0.67,703.01,0.15,20.62,Offline Store
Sweatshirt,Clothing,Kolkata,1265.81,716.98,1.47,8.7,0.48,1179.13,0.14,12.03,Own Brand Website
Action Figure,Toys,Mumbai,1900.72,838.5,1.53,4.4,0.53,1758.5,0.12,7.38,Offline Store
Jeans,Clothing,Lucknow,751.24,418.52,1.16,9.5,0.68,809.1,0.13,8.59,Amazon
Kurta,Clothing,Lucknow,1708.83,974.71,1.57,4,0.32,1851.2,0.24,25.18,Own Brand Website
Smartwatch,Electronics,Hyderabad,662.43,265.58,1.32,9.9,0.89,605.73,0.14,12.78,Own Brand Website
Lipstick,Cosmetics,Chennai,1677.76,1086.21,1.15,6.7,0.63,1649,0.21,12.32,Amazon
Lipstick,Cosmetics,Bangalore,1109.94,672.27,1.08,9.8,0.41,1078.93,0.19,6.02,Flipkart
Organic Rice,Groceries,Ahmedabad,1141.89,754.78,1.55,5.3,0.66,1205.1,0.15,18.21,Own Brand Website
Fiction Novel,Books,Pune,796.77,409.1,1.1,5.8,0.4,765.1,0.17,15.76,Amazon
Treadmill,Fitness Equipment,Pune,1842.14,1085.57,1.59,7.1,0.82,1965.25,0.25,21.75,Own Brand Website
Headphones,Electronics,Kolkata,894.04,509.77,1.16,7.3,0.63,948.46,0.28,8.32,Own Brand Website
Laptop,Electronics,Hyderabad,1412.72,967.73,1.55,8.8,0.33,1342.79,0.13,28.17,Flipkart
Biography,Books,Kolkata,1522.89,852.11,1.59,4.4,0.72,1556.21,0.17,17.13,Amazon
Perfume,Cosmetics,Kolkata,547.23,330.05,1.28,3.2,0.92,547.39,0.24,9.92,Amazon
Boots,Footwear,Kolkata,341.74,229.21,1.38,6.5,0.64,323.71,0.28,10.36,Amazon
Doll,Toys,Delhi,400.21,271.75,1.19,9,0.8,390.76,0.15,23.97,Own Brand Website
Doll,Toys,Bangalore,1235.44,588.33,1.54,8,0.89,1219.99,0.13,28.1,Amazon
Formal Shoes,Footwear,Chennai,1242.71,723.03,1.37,6.3,0.47,1270.8,0.24,27.91,Flipkart
Lipstick,Cosmetics,Lucknow,237.08,112.95,1.48,8.4,0.44,222.13,0.17,6.57,Amazon
Bluetooth Speaker,Electronics,Bangalore,1487.69,894.02,1.52,6,0.71,1622.76,0.29,6.78,Own Brand Website
Mixer Grinder,Kitchen Appliances,Chennai,103.58,71.26,1.34,7.9,0.89,102.2,0.19,9.17,Amazon
Organic Rice,Groceries,Delhi,1821.07,1082.27,1.15,6.9,0.51,1692.57,0.14,18.98,Flipkart
Electric Kettle,Kitchen Appliances,Pune,1172.33,746.75,1.19,9.4,0.64,1102.97,0.18,28.08,Flipkart
Yoga Mat,Fitness Equipment,Chennai,1008.5,668.05,1.14,9.4,0.58,1096.47,0.27,21.5,Flipkart
Textbook,Books,Bangalore,1378.41,638.83,1.38,6.8,0.52,1379.96,0.29,5.13,Amazon
Laptop,Electronics,Mumbai,892.54,446.35,1.58,9.8,0.68,901.47,0.28,5.16,Amazon
Puzzle,Toys,Mumbai,1168.33,475.97,1.58,5.2,0.64,1149.07,0.28,30,Flipkart
Sweatshirt,Clothing,Jaipur,229.94,142.47,1.25,4,0.56,252.85,0.17,11.93,Own Brand Website
Dry Fruits,Groceries,Lucknow,1707.73,1127.75,1.24,5.1,0.72,1607.03,0.2,8.53,Offline Store
Textbook,Books,Lucknow,679.03,332.21,1.43,5,0.88,744.63,0.12,14.94,Own Brand Website
Mixer Grinder,Kitchen Appliances,Jaipur,673.5,340.52,1.2,5.7,0.39,643.84,0.25,13.6,Flipkart
Board Game,Toys,Lucknow,494.89,214.06,1.24,7.5,0.46,487.21,0.29,18.81,Amazon
Rug,Home Decor,Ahmedabad,1110.68,580.87,1.36,9.9,0.46,1208.85,0.13,7.78,Own Brand Website
Yoga Mat,Fitness Equipment,Pune,1343.87,638.81,1.29,8.1,0.65,1213.18,0.16,6.62,Own Brand Website
Honey,Groceries,Delhi,1859.62,1187.17,1.59,9.2,0.61,2001.92,0.23,18.11,Own Brand Website
Lamp,Home Decor,Delhi,804.23,485.99,1.37,7.3,0.56,842.72,0.12,23.15,Amazon
Smartphone,Electronics,Hyderabad,1488.45,825.77,1.19,6.6,0.38,1424.49,0.18,21.83,Amazon
Electric Kettle,Kitchen Appliances,Bangalore,455.71,203.91,1.38,7.8,0.35,413.16,0.13,27.53,Flipkart
Bluetooth Speaker,Electronics,Pune,1378.01,931.96,1.42,9.8,0.59,1405.32,0.22,5.08,Flipkart
Curtain,Home Decor,Bangalore,152.16,67.5,1.33,6,0.65,161.3,0.26,29.43,Own Brand Website
Jeans,Clothing,Bangalore,1159.34,584.5,1.22,5.4,0.51,1134.51,0.11,20.84,Own Brand Website
Self-Help Book,Books,Pune,1179.28,635.15,1.09,3.7,0.65,1069.98,0.24,29.84,Offline Store
Laptop,Electronics,Bangalore,1235.07,762.07,1.29,7.7,0.72,1315.12,0.24,23.73,Amazon
